Ordered Overview of capture-time and settings
=======================================================
| 16:30:17 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 16:31:35 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 16:32:53 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 16:34:11 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 16:35:28 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 16:36:46 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 16:45:17 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 16:46:35 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 16:47:53 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 16:49:11 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 16:50:29 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 16:51:47 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 17:00:18 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 17:01:36 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 17:02:54 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 17:04:12 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 17:05:30 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 17:06:48 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 17:15:18 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 17:16:36 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 17:17:54 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 17:19:12 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 17:20:30 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 17:21:49 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 17:30:18 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 17:31:36 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 17:32:55 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 17:34:13 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 17:35:34 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 17:36:57 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 17:45:18 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 17:46:35 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 17:47:53 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 17:49:11 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 17:50:29 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 17:51:47 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 18:00:17 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 18:01:35 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 18:02:53 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 18:04:11 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 18:05:29 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 18:06:48 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 18:15:18 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
